level,key,name,txnType,year,month,ym,count,unitPriceNominal,unitPriceReal2021
national,,Taiwan,sale,2012,1,2012-01,387,42174,45358
national,,Taiwan,sale,2012,2,2012-02,551,46494,50004
national,,Taiwan,sale,2012,3,2012-03,1180,52221,56164
national,,Taiwan,sale,2012,4,2012-04,1598,57138,61452
national,,Taiwan,sale,2012,5,2012-05,1707,52832,56821
national,,Taiwan,sale,2012,6,2012-06,2122,54188,58279
national,,Taiwan,sale,2012,7,2012-07,10829,46434,49940
national,,Taiwan,sale,2012,8,2012-08,18312,44614,47982
national,,Taiwan,sale,2012,9,2012-09,20574,46258,49750
national,,Taiwan,sale,2012,10,2012-10,24891,47273,50842
national,,Taiwan,sale,2012,11,2012-11,22705,45202,48615
national,,Taiwan,sale,2012,12,2012-12,27816,47382,50959
national,,Taiwan,sale,2013,1,2013-01,20595,46073,49160
national,,Taiwan,sale,2013,2,2013-02,14890,48409,51653
national,,Taiwan,sale,2013,3,2013-03,28541,48800,52070
national,,Taiwan,sale,2013,4,2013-04,29033,50937,54350
national,,Taiwan,sale,2013,5,2013-05,29445,52067,55556
national,,Taiwan,sale,2013,6,2013-06,27401,51703,55168
national,,Taiwan,sale,2013,7,2013-07,27277,52971,56520
national,,Taiwan,sale,2013,8,2013-08,25441,51502,54953
national,,Taiwan,sale,2013,9,2013-09,25533,52186,55683
national,,Taiwan,sale,2013,10,2013-10,27427,53014,56566
national,,Taiwan,sale,2013,11,2013-11,27137,54867,58544
national,,Taiwan,sale,2013,12,2013-12,32134,51653,55114
national,,Taiwan,sale,2014,1,2014-01,16487,50813,53578
national,,Taiwan,sale,2014,2,2014-02,15568,50771,53533
national,,Taiwan,sale,2014,3,2014-03,25803,52958,55839
national,,Taiwan,sale,2014,4,2014-04,25208,54510,57476
national,,Taiwan,sale,2014,5,2014-05,23523,54278,57231
national,,Taiwan,sale,2014,6,2014-06,21334,52936,55816
national,,Taiwan,sale,2014,7,2014-07,20873,53242,56139
national,,Taiwan,sale,2014,8,2014-08,18208,53554,56468
national,,Taiwan,sale,2014,9,2014-09,19837,53313,56214
national,,Taiwan,sale,2014,10,2014-10,21825,54478,57442
national,,Taiwan,sale,2014,11,2014-11,21970,55407,58422
national,,Taiwan,sale,2014,12,2014-12,26381,54811,57793
national,,Taiwan,sale,2015,1,2015-01,15708,52691,55728
national,,Taiwan,sale,2015,2,2015-02,10884,54349,57482
national,,Taiwan,sale,2015,3,2015-03,19552,53305,56378
national,,Taiwan,sale,2015,4,2015-04,19533,54409,57545
national,,Taiwan,sale,2015,5,2015-05,18543,53962,57072
national,,Taiwan,sale,2015,6,2015-06,18282,53460,56542
national,,Taiwan,sale,2015,7,2015-07,18171,52326,55342
national,,Taiwan,sale,2015,8,2015-08,15847,51714,54695
national,,Taiwan,sale,2015,9,2015-09,15032,52922,55973
national,,Taiwan,sale,2015,10,2015-10,17982,53618,56709
national,,Taiwan,sale,2015,11,2015-11,23266,54016,57130
national,,Taiwan,sale,2015,12,2015-12,24508,52073,55075
national,,Taiwan,sale,2016,1,2016-01,11346,52148,54400
national,,Taiwan,sale,2016,2,2016-02,7575,52647,54921
national,,Taiwan,sale,2016,3,2016-03,16963,51517,53742
national,,Taiwan,sale,2016,4,2016-04,18033,54870,57240
national,,Taiwan,sale,2016,5,2016-05,20521,54468,56820
national,,Taiwan,sale,2016,6,2016-06,18311,54680,57042
national,,Taiwan,sale,2016,7,2016-07,18727,55564,57964
national,,Taiwan,sale,2016,8,2016-08,16282,56122,58546
national,,Taiwan,sale,2016,9,2016-09,16806,54936,57309
national,,Taiwan,sale,2016,10,2016-10,18361,53628,55944
national,,Taiwan,sale,2016,11,2016-11,18329,54500,56854
national,,Taiwan,sale,2016,12,2016-12,22253,54992,57367
national,,Taiwan,sale,2017,1,2017-01,12788,53996,55983
national,,Taiwan,sale,2017,2,2017-02,13417,55870,57926
national,,Taiwan,sale,2017,3,2017-03,20222,54020,56008
national,,Taiwan,sale,2017,4,2017-04,19780,55722,57773
national,,Taiwan,sale,2017,5,2017-05,20283,54990,57014
national,,Taiwan,sale,2017,6,2017-06,20302,56628,58712
national,,Taiwan,sale,2017,7,2017-07,19274,56450,58528
national,,Taiwan,sale,2017,8,2017-08,19368,56183,58251
national,,Taiwan,sale,2017,9,2017-09,17914,57442,59556
national,,Taiwan,sale,2017,10,2017-10,19922,58394,60543
national,,Taiwan,sale,2017,11,2017-11,22130,56579,58661
national,,Taiwan,sale,2017,12,2017-12,22774,57363,59474
national,,Taiwan,sale,2018,1,2018-01,19898,57396,58717
national,,Taiwan,sale,2018,2,2018-02,11895,58100,59437
national,,Taiwan,sale,2018,3,2018-03,22608,57967,59301
national,,Taiwan,sale,2018,4,2018-04,21740,57379,58700
national,,Taiwan,sale,2018,5,2018-05,22801,57375,58696
national,,Taiwan,sale,2018,6,2018-06,21343,59096,60456
national,,Taiwan,sale,2018,7,2018-07,21640,58661,60011
national,,Taiwan,sale,2018,8,2018-08,20366,60388,61778
national,,Taiwan,sale,2018,9,2018-09,19943,60692,62089
national,,Taiwan,sale,2018,10,2018-10,21805,60917,62319
national,,Taiwan,sale,2018,11,2018-11,20353,59277,60641
national,,Taiwan,sale,2018,12,2018-12,22745,59241,60605
national,,Taiwan,sale,2019,1,2019-01,21476,60080,61119
national,,Taiwan,sale,2019,2,2019-02,14520,58189,59195
national,,Taiwan,sale,2019,3,2019-03,26510,60036,61074
national,,Taiwan,sale,2019,4,2019-04,26097,60768,61819
national,,Taiwan,sale,2019,5,2019-05,26118,61155,62213
national,,Taiwan,sale,2019,6,2019-06,25127,62617,63700
national,,Taiwan,sale,2019,7,2019-07,26137,62912,64000
national,,Taiwan,sale,2019,8,2019-08,22100,63692,64793
national,,Taiwan,sale,2019,9,2019-09,25819,63383,64479
national,,Taiwan,sale,2019,10,2019-10,27380,64656,65774
national,,Taiwan,sale,2019,11,2019-11,27006,64157,65267
national,,Taiwan,sale,2019,12,2019-12,27662,64193,65303
national,,Taiwan,sale,2020,1,2020-01,18265,63844,65100
national,,Taiwan,sale,2020,2,2020-02,22217,63722,64976
national,,Taiwan,sale,2020,3,2020-03,26108,62428,63657
national,,Taiwan,sale,2020,4,2020-04,22323,63418,64666
national,,Taiwan,sale,2020,5,2020-05,28391,65441,66729
national,,Taiwan,sale,2020,6,2020-06,30907,67228,68551
national,,Taiwan,sale,2020,7,2020-07,34576,68584,69934
national,,Taiwan,sale,2020,8,2020-08,32815,70148,71529
national,,Taiwan,sale,2020,9,2020-09,31824,69214,70576
national,,Taiwan,sale,2020,10,2020-10,33291,70257,71640
national,,Taiwan,sale,2020,11,2020-11,33093,68325,69670
national,,Taiwan,sale,2020,12,2020-12,30666,69528,70896
national,,Taiwan,sale,2021,1,2021-01,27234,71198,71198
national,,Taiwan,sale,2021,2,2021-02,19696,70032,70032
national,,Taiwan,sale,2021,3,2021-03,33951,69532,69532
national,,Taiwan,sale,2021,4,2021-04,32091,70657,70657
national,,Taiwan,sale,2021,5,2021-05,25115,69504,69504
national,,Taiwan,sale,2021,6,2021-06,17528,65802,65802
national,,Taiwan,sale,2021,7,2021-07,23960,68756,68756
national,,Taiwan,sale,2021,8,2021-08,27463,72201,72201
national,,Taiwan,sale,2021,9,2021-09,33398,74071,74071
national,,Taiwan,sale,2021,10,2021-10,33634,74887,74887
national,,Taiwan,sale,2021,11,2021-11,33017,76046,76046
national,,Taiwan,sale,2021,12,2021-12,31620,76726,76726
national,,Taiwan,sale,2022,1,2022-01,23873,77503,75282
national,,Taiwan,sale,2022,2,2022-02,18808,78513,76263
national,,Taiwan,sale,2022,3,2022-03,30209,80156,77859
national,,Taiwan,sale,2022,4,2022-04,24677,80122,77826
national,,Taiwan,sale,2022,5,2022-05,20675,79621,77339
national,,Taiwan,sale,2022,6,2022-06,19114,80802,78487
national,,Taiwan,sale,2022,7,2022-07,20269,80870,78553
national,,Taiwan,sale,2022,8,2022-08,17762,80786,78471
national,,Taiwan,sale,2022,9,2022-09,18897,81182,78856
national,,Taiwan,sale,2022,10,2022-10,18134,80058,77764
national,,Taiwan,sale,2022,11,2022-11,16528,79400,77125
national,,Taiwan,sale,2022,12,2022-12,18466,80562,78254
national,,Taiwan,sale,2023,1,2023-01,11306,80791,76557
national,,Taiwan,sale,2023,2,2023-02,16631,79658,75484
national,,Taiwan,sale,2023,3,2023-03,23307,82240,77930
national,,Taiwan,sale,2023,4,2023-04,21422,84839,80393
national,,Taiwan,sale,2023,5,2023-05,21931,84634,80199
national,,Taiwan,sale,2023,6,2023-06,22484,87936,83328
national,,Taiwan,sale,2023,7,2023-07,20622,85412,80936
national,,Taiwan,sale,2023,8,2023-08,20921,86026,81518
national,,Taiwan,sale,2023,9,2023-09,20663,89252,84575
national,,Taiwan,sale,2023,10,2023-10,22752,89019,84354
national,,Taiwan,sale,2023,11,2023-11,23585,89654,84956
national,,Taiwan,sale,2023,12,2023-12,24238,89465,84777
national,,Taiwan,sale,2024,1,2024-01,23582,91330,84682
national,,Taiwan,sale,2024,2,2024-02,17809,92984,86216
national,,Taiwan,sale,2024,3,2024-03,29601,93363,86567
national,,Taiwan,sale,2024,4,2024-04,26889,95024,88108
national,,Taiwan,sale,2024,5,2024-05,28295,95090,88169
national,,Taiwan,sale,2024,6,2024-06,26655,97896,90771
national,,Taiwan,sale,2024,7,2024-07,23531,97640,90533
national,,Taiwan,sale,2024,8,2024-08,17473,95581,88624
national,,Taiwan,sale,2024,9,2024-09,14209,91100,84469
national,,Taiwan,sale,2024,10,2024-10,12655,86823,80503
national,,Taiwan,sale,2024,11,2024-11,12993,89238,82743
national,,Taiwan,sale,2024,12,2024-12,13500,89516,83000
national,,Taiwan,sale,2025,1,2025-01,10302,90826,82554
national,,Taiwan,sale,2025,2,2025-02,11143,90614,82361
national,,Taiwan,sale,2025,3,2025-03,15083,89722,81551
national,,Taiwan,sale,2025,4,2025-04,11454,88191,80159
national,,Taiwan,sale,2025,5,2025-05,11738,89174,81053
national,,Taiwan,sale,2025,6,2025-06,11432,91033,82742
national,,Taiwan,sale,2025,7,2025-07,10086,89625,81462
national,,Taiwan,sale,2025,8,2025-08,10091,88902,80805
national,,Taiwan,sale,2025,9,2025-09,9999,91116,82818
national,,Taiwan,sale,2025,10,2025-10,11031,89636,81472
national,,Taiwan,sale,2025,11,2025-11,10931,90730,82467
national,,Taiwan,sale,2025,12,2025-12,11851,88977,80873
national,,Taiwan,sale,2026,1,2026-01,11366,88412,79010
national,,Taiwan,sale,2026,2,2026-02,6387,89529,80008
national,,Taiwan,sale,2026,3,2026-03,10293,88180,78803
national,,Taiwan,sale,2026,4,2026-04,6365,83209,74360
region,1,Northern Taiwan,sale,2012,1,2012-01,161,80569,86652
region,1,Northern Taiwan,sale,2012,2,2012-02,218,61538,66184
region,1,Northern Taiwan,sale,2012,3,2012-03,528,78638,84575
region,1,Northern Taiwan,sale,2012,4,2012-04,844,75238,80918
region,1,Northern Taiwan,sale,2012,5,2012-05,888,62159,66852
region,1,Northern Taiwan,sale,2012,6,2012-06,1179,66667,71700
region,1,Northern Taiwan,sale,2012,7,2012-07,6035,58786,63224
region,1,Northern Taiwan,sale,2012,8,2012-08,10220,61981,66661
region,1,Northern Taiwan,sale,2012,9,2012-09,11295,56014,60243
region,1,Northern Taiwan,sale,2012,10,2012-10,13917,58660,63089
region,1,Northern Taiwan,sale,2012,11,2012-11,12376,61184,65803
region,1,Northern Taiwan,sale,2012,12,2012-12,15422,64077,68915
region,1,Northern Taiwan,sale,2013,1,2013-01,10814,65972,70393
region,1,Northern Taiwan,sale,2013,2,2013-02,7715,70187,74890
region,1,Northern Taiwan,sale,2013,3,2013-03,15535,68411,72995
region,1,Northern Taiwan,sale,2013,4,2013-04,16373,70246,74953
region,1,Northern Taiwan,sale,2013,5,2013-05,16539,72327,77173
region,1,Northern Taiwan,sale,2013,6,2013-06,15322,71453,76241
region,1,Northern Taiwan,sale,2013,7,2013-07,15537,75272,80316
region,1,Northern Taiwan,sale,2013,8,2013-08,14345,65241,69613
region,1,Northern Taiwan,sale,2013,9,2013-09,14581,66902,71385
region,1,Northern Taiwan,sale,2013,10,2013-10,15166,75614,80681
region,1,Northern Taiwan,sale,2013,11,2013-11,15597,72123,76956
region,1,Northern Taiwan,sale,2013,12,2013-12,17026,72096,76927
region,1,Northern Taiwan,sale,2014,1,2014-01,8012,78693,82974
region,1,Northern Taiwan,sale,2014,2,2014-02,7599,73772,77786
region,1,Northern Taiwan,sale,2014,3,2014-03,13681,69980,73787
region,1,Northern Taiwan,sale,2014,4,2014-04,13324,74042,78070
region,1,Northern Taiwan,sale,2014,5,2014-05,12789,69742,73536
region,1,Northern Taiwan,sale,2014,6,2014-06,10431,74380,78427
region,1,Northern Taiwan,sale,2014,7,2014-07,10796,78510,82782
region,1,Northern Taiwan,sale,2014,8,2014-08,9545,71855,75764
region,1,Northern Taiwan,sale,2014,9,2014-09,10284,74067,78097
region,1,Northern Taiwan,sale,2014,10,2014-10,11364,74918,78994
region,1,Northern Taiwan,sale,2014,11,2014-11,11678,73880,77900
region,1,Northern Taiwan,sale,2014,12,2014-12,13562,73863,77882
region,1,Northern Taiwan,sale,2015,1,2015-01,7331,75365,79709
region,1,Northern Taiwan,sale,2015,2,2015-02,5496,75607,79965
region,1,Northern Taiwan,sale,2015,3,2015-03,9929,68998,72975
region,1,Northern Taiwan,sale,2015,4,2015-04,10055,74186,78462
region,1,Northern Taiwan,sale,2015,5,2015-05,9280,71527,75650
region,1,Northern Taiwan,sale,2015,6,2015-06,9029,74016,78282
region,1,Northern Taiwan,sale,2015,7,2015-07,8809,73064,77276
region,1,Northern Taiwan,sale,2015,8,2015-08,8255,68659,72617
region,1,Northern Taiwan,sale,2015,9,2015-09,7791,70744,74822
region,1,Northern Taiwan,sale,2015,10,2015-10,9250,72784,76979
region,1,Northern Taiwan,sale,2015,11,2015-11,12600,70507,74571
region,1,Northern Taiwan,sale,2015,12,2015-12,11885,70461,74522
region,1,Northern Taiwan,sale,2016,1,2016-01,5504,71080,74150
region,1,Northern Taiwan,sale,2016,2,2016-02,3523,69151,72137
region,1,Northern Taiwan,sale,2016,3,2016-03,9004,62368,65062
region,1,Northern Taiwan,sale,2016,4,2016-04,9342,67653,70575
region,1,Northern Taiwan,sale,2016,5,2016-05,11610,65642,68477
region,1,Northern Taiwan,sale,2016,6,2016-06,9329,70311,73348
region,1,Northern Taiwan,sale,2016,7,2016-07,10056,72733,75874
region,1,Northern Taiwan,sale,2016,8,2016-08,8699,74146,77348
region,1,Northern Taiwan,sale,2016,9,2016-09,8796,69441,72440
region,1,Northern Taiwan,sale,2016,10,2016-10,9320,70192,73223
region,1,Northern Taiwan,sale,2016,11,2016-11,9570,70841,73900
region,1,Northern Taiwan,sale,2016,12,2016-12,11471,68548,71508
region,1,Northern Taiwan,sale,2017,1,2017-01,6142,72554,75224
region,1,Northern Taiwan,sale,2017,2,2017-02,6668,72625,75298
region,1,Northern Taiwan,sale,2017,3,2017-03,9824,71098,73715
region,1,Northern Taiwan,sale,2017,4,2017-04,10026,70210,72794
region,1,Northern Taiwan,sale,2017,5,2017-05,10136,67353,69832
region,1,Northern Taiwan,sale,2017,6,2017-06,10360,75980,78777
region,1,Northern Taiwan,sale,2017,7,2017-07,9844,73442,76145
region,1,Northern Taiwan,sale,2017,8,2017-08,9455,73263,75960
region,1,Northern Taiwan,sale,2017,9,2017-09,9043,75731,78518
region,1,Northern Taiwan,sale,2017,10,2017-10,10058,76867,79696
region,1,Northern Taiwan,sale,2017,11,2017-11,11173,73272,75969
region,1,Northern Taiwan,sale,2017,12,2017-12,10983,78070,80943
region,1,Northern Taiwan,sale,2018,1,2018-01,9642,77193,78970
region,1,Northern Taiwan,sale,2018,2,2018-02,5568,80942,82805
region,1,Northern Taiwan,sale,2018,3,2018-03,11290,76181,77935
region,1,Northern Taiwan,sale,2018,4,2018-04,10750,75837,77583
region,1,Northern Taiwan,sale,2018,5,2018-05,11537,77512,79296
region,1,Northern Taiwan,sale,2018,6,2018-06,11001,78601,80410
region,1,Northern Taiwan,sale,2018,7,2018-07,11056,77628,79415
region,1,Northern Taiwan,sale,2018,8,2018-08,10709,76904,78674
region,1,Northern Taiwan,sale,2018,9,2018-09,10361,78136,79935
region,1,Northern Taiwan,sale,2018,10,2018-10,11096,76983,78755
region,1,Northern Taiwan,sale,2018,11,2018-11,10374,78068,79865
region,1,Northern Taiwan,sale,2018,12,2018-12,10776,78095,79893
region,1,Northern Taiwan,sale,2019,1,2019-01,10333,80074,81459
region,1,Northern Taiwan,sale,2019,2,2019-02,6555,79884,81266
region,1,Northern Taiwan,sale,2019,3,2019-03,12898,78611,79970
region,1,Northern Taiwan,sale,2019,4,2019-04,12615,78497,79855
region,1,Northern Taiwan,sale,2019,5,2019-05,12883,78282,79636
region,1,Northern Taiwan,sale,2019,6,2019-06,12803,78894,80258
region,1,Northern Taiwan,sale,2019,7,2019-07,13039,79973,81356
region,1,Northern Taiwan,sale,2019,8,2019-08,11213,79882,81263
region,1,Northern Taiwan,sale,2019,9,2019-09,12684,80199,81586
region,1,Northern Taiwan,sale,2019,10,2019-10,13938,81280,82686
region,1,Northern Taiwan,sale,2019,11,2019-11,13464,81183,82587
region,1,Northern Taiwan,sale,2019,12,2019-12,13423,82079,83498
region,1,Northern Taiwan,sale,2020,1,2020-01,8931,83177,84814
region,1,Northern Taiwan,sale,2020,2,2020-02,10759,80713,82301
region,1,Northern Taiwan,sale,2020,3,2020-03,12613,79452,81016
region,1,Northern Taiwan,sale,2020,4,2020-04,11284,81078,82674
region,1,Northern Taiwan,sale,2020,5,2020-05,14677,82598,84224
region,1,Northern Taiwan,sale,2020,6,2020-06,16085,87130,88845
region,1,Northern Taiwan,sale,2020,7,2020-07,17089,86596,88300
region,1,Northern Taiwan,sale,2020,8,2020-08,16681,89634,91398
region,1,Northern Taiwan,sale,2020,9,2020-09,15530,88999,90750
region,1,Northern Taiwan,sale,2020,10,2020-10,15903,88634,90378
region,1,Northern Taiwan,sale,2020,11,2020-11,16195,87060,88773
region,1,Northern Taiwan,sale,2020,12,2020-12,14953,89811,91578
region,1,Northern Taiwan,sale,2021,1,2021-01,13047,89328,89328
region,1,Northern Taiwan,sale,2021,2,2021-02,9220,91992,91992
region,1,Northern Taiwan,sale,2021,3,2021-03,16966,89916,89916
region,1,Northern Taiwan,sale,2021,4,2021-04,16702,90401,90401
region,1,Northern Taiwan,sale,2021,5,2021-05,12531,89551,89551
region,1,Northern Taiwan,sale,2021,6,2021-06,7894,82358,82358
region,1,Northern Taiwan,sale,2021,7,2021-07,11297,87479,87479
region,1,Northern Taiwan,sale,2021,8,2021-08,14080,89376,89376
region,1,Northern Taiwan,sale,2021,9,2021-09,16026,88010,88010
region,1,Northern Taiwan,sale,2021,10,2021-10,16610,93559,93559
region,1,Northern Taiwan,sale,2021,11,2021-11,16524,96700,96700
region,1,Northern Taiwan,sale,2021,12,2021-12,15605,96681,96681
region,1,Northern Taiwan,sale,2022,1,2022-01,11982,97774,94972
region,1,Northern Taiwan,sale,2022,2,2022-02,9383,98234,95419
region,1,Northern Taiwan,sale,2022,3,2022-03,15937,98230,95415
region,1,Northern Taiwan,sale,2022,4,2022-04,12892,97409,94618
region,1,Northern Taiwan,sale,2022,5,2022-05,9895,98840,96008
region,1,Northern Taiwan,sale,2022,6,2022-06,9946,99687,96831
region,1,Northern Taiwan,sale,2022,7,2022-07,10883,100596,97713
region,1,Northern Taiwan,sale,2022,8,2022-08,9294,99530,96678
region,1,Northern Taiwan,sale,2022,9,2022-09,9692,101311,98408
region,1,Northern Taiwan,sale,2022,10,2022-10,9241,99480,96629
region,1,Northern Taiwan,sale,2022,11,2022-11,8624,98749,95919
region,1,Northern Taiwan,sale,2022,12,2022-12,9469,101758,98842
region,1,Northern Taiwan,sale,2023,1,2023-01,5528,102056,96708
region,1,Northern Taiwan,sale,2023,2,2023-02,8233,101164,95863
region,1,Northern Taiwan,sale,2023,3,2023-03,12155,103660,98228
region,1,Northern Taiwan,sale,2023,4,2023-04,11033,106250,100682
region,1,Northern Taiwan,sale,2023,5,2023-05,11406,103814,98374
region,1,Northern Taiwan,sale,2023,6,2023-06,12023,107194,101577
region,1,Northern Taiwan,sale,2023,7,2023-07,11164,105244,99729
region,1,Northern Taiwan,sale,2023,8,2023-08,11039,105737,100196
region,1,Northern Taiwan,sale,2023,9,2023-09,11006,108911,103204
region,1,Northern Taiwan,sale,2023,10,2023-10,11781,107781,102133
region,1,Northern Taiwan,sale,2023,11,2023-11,11934,109638,103893
region,1,Northern Taiwan,sale,2023,12,2023-12,12119,110394,104609
region,1,Northern Taiwan,sale,2024,1,2024-01,11614,110308,102279
region,1,Northern Taiwan,sale,2024,2,2024-02,8212,115066,106691
region,1,Northern Taiwan,sale,2024,3,2024-03,14539,115259,106870
region,1,Northern Taiwan,sale,2024,4,2024-04,13050,116186,107729
region,1,Northern Taiwan,sale,2024,5,2024-05,14203,114900,106537
region,1,Northern Taiwan,sale,2024,6,2024-06,12791,117619,109058
region,1,Northern Taiwan,sale,2024,7,2024-07,11244,118018,109428
region,1,Northern Taiwan,sale,2024,8,2024-08,8614,118376,109760
region,1,Northern Taiwan,sale,2024,9,2024-09,7099,111173,103081
region,1,Northern Taiwan,sale,2024,10,2024-10,6596,107190,99388
region,1,Northern Taiwan,sale,2024,11,2024-11,6677,115988,107546
region,1,Northern Taiwan,sale,2024,12,2024-12,6906,114832,106474
region,1,Northern Taiwan,sale,2025,1,2025-01,5232,117186,106513
region,1,Northern Taiwan,sale,2025,2,2025-02,5475,117566,106859
region,1,Northern Taiwan,sale,2025,3,2025-03,7810,114280,103872
region,1,Northern Taiwan,sale,2025,4,2025-04,5793,115510,104990
region,1,Northern Taiwan,sale,2025,5,2025-05,6017,116940,106290
region,1,Northern Taiwan,sale,2025,6,2025-06,5951,119472,108591
region,1,Northern Taiwan,sale,2025,7,2025-07,5348,117682,106964
region,1,Northern Taiwan,sale,2025,8,2025-08,5389,118639,107834
region,1,Northern Taiwan,sale,2025,9,2025-09,5252,119053,108210
region,1,Northern Taiwan,sale,2025,10,2025-10,5759,116494,105884
region,1,Northern Taiwan,sale,2025,11,2025-11,5620,118932,108100
region,1,Northern Taiwan,sale,2025,12,2025-12,6131,117206,106532
region,1,Northern Taiwan,sale,2026,1,2026-01,5795,116550,104155
region,1,Northern Taiwan,sale,2026,2,2026-02,3066,119388,106692
region,1,Northern Taiwan,sale,2026,3,2026-03,5050,115854,103534
region,1,Northern Taiwan,sale,2026,4,2026-04,2873,113903,101790
region,2,Central Taiwan,sale,2012,1,2012-01,163,38878,41813
region,2,Central Taiwan,sale,2012,2,2012-02,266,41646,44790
region,2,Central Taiwan,sale,2012,3,2012-03,548,44490,47849
region,2,Central Taiwan,sale,2012,4,2012-04,634,45157,48566
region,2,Central Taiwan,sale,2012,5,2012-05,662,48520,52183
region,2,Central Taiwan,sale,2012,6,2012-06,573,46378,49880
region,2,Central Taiwan,sale,2012,7,2012-07,2644,36455,39207
region,2,Central Taiwan,sale,2012,8,2012-08,3896,36894,39680
region,2,Central Taiwan,sale,2012,9,2012-09,4381,37925,40788
region,2,Central Taiwan,sale,2012,10,2012-10,5218,38716,41639
region,2,Central Taiwan,sale,2012,11,2012-11,4603,38260,41149
region,2,Central Taiwan,sale,2012,12,2012-12,5723,40514,43573
region,2,Central Taiwan,sale,2013,1,2013-01,4530,38476,41054
region,2,Central Taiwan,sale,2013,2,2013-02,3218,41065,43817
region,2,Central Taiwan,sale,2013,3,2013-03,5895,40100,42787
region,2,Central Taiwan,sale,2013,4,2013-04,5679,40206,42900
region,2,Central Taiwan,sale,2013,5,2013-05,5855,41143,43900
region,2,Central Taiwan,sale,2013,6,2013-06,5559,41830,44633
region,2,Central Taiwan,sale,2013,7,2013-07,5423,40725,43454
region,2,Central Taiwan,sale,2013,8,2013-08,5615,43791,46725
region,2,Central Taiwan,sale,2013,9,2013-09,5363,42640,45497
region,2,Central Taiwan,sale,2013,10,2013-10,6102,42684,45544
region,2,Central Taiwan,sale,2013,11,2013-11,5646,44168,47128
region,2,Central Taiwan,sale,2013,12,2013-12,7014,41445,44222
region,2,Central Taiwan,sale,2014,1,2014-01,4012,43818,46202
region,2,Central Taiwan,sale,2014,2,2014-02,3772,44174,46577
region,2,Central Taiwan,sale,2014,3,2014-03,5921,45725,48213
region,2,Central Taiwan,sale,2014,4,2014-04,5658,46147,48658
region,2,Central Taiwan,sale,2014,5,2014-05,4780,45510,47986
region,2,Central Taiwan,sale,2014,6,2014-06,5048,47164,49730
region,2,Central Taiwan,sale,2014,7,2014-07,4634,44434,46852
region,2,Central Taiwan,sale,2014,8,2014-08,4106,45394,47864
region,2,Central Taiwan,sale,2014,9,2014-09,4368,46350,48872
region,2,Central Taiwan,sale,2014,10,2014-10,5162,43628,46002
region,2,Central Taiwan,sale,2014,11,2014-11,5104,45776,48267
region,2,Central Taiwan,sale,2014,12,2014-12,5732,46047,48552
region,2,Central Taiwan,sale,2015,1,2015-01,4144,47603,50347
region,2,Central Taiwan,sale,2015,2,2015-02,2448,46886,49589
region,2,Central Taiwan,sale,2015,3,2015-03,4248,46584,49269
region,2,Central Taiwan,sale,2015,4,2015-04,4295,46234,48899
region,2,Central Taiwan,sale,2015,5,2015-05,4206,46298,48967
region,2,Central Taiwan,sale,2015,6,2015-06,4136,46638,49326
region,2,Central Taiwan,sale,2015,7,2015-07,4070,46864,49565
region,2,Central Taiwan,sale,2015,8,2015-08,3413,45722,48357
region,2,Central Taiwan,sale,2015,9,2015-09,2946,45658,48290
region,2,Central Taiwan,sale,2015,10,2015-10,3824,44606,47177
region,2,Central Taiwan,sale,2015,11,2015-11,4751,48388,51177
region,2,Central Taiwan,sale,2015,12,2015-12,4917,46600,49286
region,2,Central Taiwan,sale,2016,1,2016-01,2559,46400,48404
region,2,Central Taiwan,sale,2016,2,2016-02,1754,48889,51000
region,2,Central Taiwan,sale,2016,3,2016-03,3625,48309,50395
region,2,Central Taiwan,sale,2016,4,2016-04,3898,48544,50641
region,2,Central Taiwan,sale,2016,5,2016-05,3871,48414,50505
region,2,Central Taiwan,sale,2016,6,2016-06,3729,47655,49713
region,2,Central Taiwan,sale,2016,7,2016-07,3901,46305,48305
region,2,Central Taiwan,sale,2016,8,2016-08,3335,48549,50646
region,2,Central Taiwan,sale,2016,9,2016-09,3881,49127,51249
region,2,Central Taiwan,sale,2016,10,2016-10,3896,46512,48521
region,2,Central Taiwan,sale,2016,11,2016-11,3675,47236,49276
region,2,Central Taiwan,sale,2016,12,2016-12,4371,47434,49483
region,2,Central Taiwan,sale,2017,1,2017-01,3345,44819,46469
region,2,Central Taiwan,sale,2017,2,2017-02,2942,49498,51320
region,2,Central Taiwan,sale,2017,3,2017-03,4449,48832,50629
region,2,Central Taiwan,sale,2017,4,2017-04,4485,50018,51859
region,2,Central Taiwan,sale,2017,5,2017-05,4902,51706,53609
region,2,Central Taiwan,sale,2017,6,2017-06,4358,50176,52023
region,2,Central Taiwan,sale,2017,7,2017-07,4258,50666,52531
region,2,Central Taiwan,sale,2017,8,2017-08,4566,51210,53095
region,2,Central Taiwan,sale,2017,9,2017-09,4020,51156,53039
region,2,Central Taiwan,sale,2017,10,2017-10,4702,51171,53054
region,2,Central Taiwan,sale,2017,11,2017-11,4988,51035,52913
region,2,Central Taiwan,sale,2017,12,2017-12,5243,51384,53275
region,2,Central Taiwan,sale,2018,1,2018-01,4525,52110,53309
region,2,Central Taiwan,sale,2018,2,2018-02,2689,52588,53798
region,2,Central Taiwan,sale,2018,3,2018-03,5073,52562,53772
region,2,Central Taiwan,sale,2018,4,2018-04,5057,51720,52910
region,2,Central Taiwan,sale,2018,5,2018-05,4993,51376,52559
